PrecoUnitario|Quantidade|Data:ALFA|Pais:ALFA|Cidade:ALFA|Empresa:ALFA|Cliente:ALFA|CEP:ALFA|Categoria:ALFA|Produto:ALFA
15,20|25|1996-07-12 00:00:00.000|Switzerland|Sao paulo|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Sao paulo|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Sao paulo|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Sao paulo|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Sao paulo|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Sao paulo|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Sao paulo|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Sao paulo|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Sao paulo|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Sao paulo|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Seattle|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Seattle|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Seattle|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Seattle|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Seattle|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Seattle|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Seattle|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Seattle|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Seattle|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Seattle|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
15,20|25|1996-07-12 00:00:00.000|Switzerland|Seattle|Richter Supermarkt|RICSU|1203|8|Inlagd Sill
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
3,60|6|1996-08-14 00:00:00.000|Spain|Seattle|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
